Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;

Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;
2017-08-07;16:28:14;170016;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;12,9 %;3,31;83;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:28:26;139980;BSF7;2014.06.06.;656;128 K;Remote;2014.06.06.;2000;12,8 %;3,31;84;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:28:35;170631;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;11,7 %;3,28;85;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:29:10;170616;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;12,1 %;3,31;100;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:29:22;139838;BSF7;2014.05.12.;656;128 K;Remote;2014.05.12.;2000;13,8 %;3,28;100;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:29:47;170627;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;13,0 %;3,32;1;Clear; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A;Card6With192Records!;N/A;N/A;N/A;N/A;N/A;ConfigRead;
2017-08-07;16:29:57;170627;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;13,0 %;3,32;1;Clear; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A;Card6With192Records!;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:30:23;170606;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;12,4 %;3,16;2;Check; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigRead;
2017-08-07;16:30:32;170606;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;12,4 %;3,16;2;Check; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:31:09;170607;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;14,6 %;3,17;6;BcFinish; 08:00:00;RealTimeClock!; -;N/A;ExtendedProtocol; -; -;N/A;forced PunchingMode;NotSetOrDisabled; -;N/A;ConfigRead;
2017-08-07;16:31:29;170607;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;14,6 %;3,17;6;Finish; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol; -; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:50:15;135862;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;30,5 %;3,21;31;Control; 04:00:00;RealTimeClock!;AutoSend;N/A;ExtendedProtocol;N/A;Card6With192Records;N/A;N/A;N/A;N/A;N/A;ConfigRead;
2017-08-07;16:50:48;135862;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;30,5 %;3,21;86;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:51:07;135867;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;31,0 %;3,25;87;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:51:17;135863;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;36,7 %;3,27;88;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:51:25;135913;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;35,6 %;3,26;89;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:51:37;135912;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;31,6 %;3,19;90;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:51:43;135872;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;28,4 %;3,19;91;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:51:51;135875;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;30,5 %;3,20;92;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:52:01;135879;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;36,2 %;3,29;93;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:52:08;170647;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;33,7 %;3,19;94;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:52:14;135881;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;34,0 %;3,26;95;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
